高清央视,#genre#
CCTV4中文国际02[25P12M],http://ott.mobaibox.com/PLTV/3/224/3221227549/index.m3u8
CCTV4中文国际03[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228156/index.m3u8
CCTV4中文国际04[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4中文国际05[50P8M],http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3
CCTV4中文国际06[50P8M],http://121.19.134.245:808/tsfile/live/0004_1.m3u8
CCTV4中文国际07[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1221
CCTV5体育01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw3847208563_882248521/ott.mobaibox.com/PLTV/3/224/3221228179/index.m3u8?icpid=3&RTS=1668594346&from=40&popid=40&hms_devid=2115&prioritypopid=40&vqe=3
CCTV5体育02[25P12M],http://ott.mobaibox.com/PLTV/3/224/3221227617/index.m3u8
CCTV5体育03[25P5M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5体育04[25P8M],http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5体育05[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000016431/1.m3u8?channel-id=wasusyt&Contentid=6000000001000016431&livemode=1&stbId=3
CCTV5体育06[25P5M],https://epg.pw/stream/0cebf04f8ced719321d379ebea3e3cb758aa2bb1a1ac7fd14c84ba6dc3f243dc.m3u8
CCTV5体育07[25P4M],https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5体育08[50P8M],http://222.217.246.54:8282/tsfile/live/1016_1.m3u8
CCTV5体育09[50P8M],http://121.19.134.245:808/tsfile/live/0005_1.m3u8
CCTV5体育10[50P10M],http://www.biaozhun114.com/tvbox/iptv8.php?6587
CCTV5体育11[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1187
CCTV5体育12[25P4M],http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5+体育赛事01[25P12M],http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5+体育赛事02[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228277/index.m3u8
CCTV5+体育赛事03[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000015875/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015875&livemode=1&stbId=3
CCTV5+体育赛事04[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000018504/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018504&livemode=1&stbId=3
CCTV5+体育赛事05[25P5M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6电影01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb13]/wh7f454c46tw3940641123_459833286/ott.mobaibox.com/PLTV/3/224/3221227505/index.m3u8?icpid=3&RTS=1668594440&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV6电影02[50P8M],http://222.217.246.54:8282/tsfile/live/1017_1.m3u8
CCTV6电影03[50P8M],http://121.19.134.245:808/tsfile/live/0006_1.m3u8
CCTV6电影04[25P5M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV6电影05[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1188
